                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7935,                 1.6811,                 1.4374,                0.22901,                0.22527,                0.14783,                 0.0626,                 2.4871,                 3.2584,                 1.7546,               0.070099,              0.0033223,              0.0033223
                      1,                 1.8086,                 1.5888,                 1.4736,                 0.4556,                0.28931,                0.27105,                0.12504,                  2.215,                 1.9478,                 1.4855,               0.040033,              0.0065898,              0.0065898
                      2,                 1.7617,                 1.5147,                 1.4523,                 0.4213,                0.27473,                0.26532,                0.13273,                 2.1357,                 2.3603,                  1.449,              0.0099012,              0.0097912,              0.0097912
                      3,                 1.7525,                 1.5033,                 1.4545,                0.43749,                0.29382,                 0.2757,                0.13401,                 2.1484,                 1.8716,                 1.4085,               0.009703,               0.009703,               0.009703
                      4,                 1.6817,                 1.3902,                 1.4088,                0.45432,                0.33602,                0.29969,                0.13377,                 2.1718,                 1.7099,                 1.6181,               0.009703,               0.009703,               0.009703
                      5,                 1.6337,                 1.3303,                  1.383,                0.44852,                0.29435,                0.28186,                0.14388,                  2.037,                 1.8259,                 1.4004,               0.009604,               0.009604,               0.009604
                      6,                 1.6211,                 1.3236,                 1.3847,                0.46107,                0.29543,                0.28965,                0.14185,                 2.1282,                 1.7717,                 1.4697,               0.009505,               0.009505,               0.009505
                      7,                  1.613,                 1.2989,                 1.3733,                0.47891,                0.32903,                0.30568,                0.15219,                 2.0599,                 1.6605,                 1.4365,               0.009406,               0.009406,               0.009406
                      8,                 1.5863,                 1.2614,                  1.358,                0.50681,                0.33414,                0.30629,                0.14464,                 2.0197,                 1.5941,                 1.3618,               0.009307,               0.009307,               0.009307
                      9,                 1.5743,                 1.2506,                 1.3513,                0.53166,                0.32688,                0.33686,                0.18119,                 1.9111,                 1.4928,                 1.3547,               0.009208,               0.009208,               0.009208
                     10,                 1.5708,                 1.2203,                 1.3498,                 0.4971,                0.35287,                0.32644,                 0.1547,                 2.0802,                 1.5589,                 1.4789,               0.009109,               0.009109,               0.009109
                     11,                 1.5393,                 1.1952,                 1.3231,                0.53158,                0.34194,                0.34328,                0.17893,                 1.9559,                 1.4606,                  1.346,                0.00901,                0.00901,                0.00901
                     12,                 1.5311,                 1.1943,                 1.3372,                0.49735,                0.36075,                0.34273,                0.18059,                 1.9046,                 1.7898,                 1.3362,               0.008911,               0.008911,               0.008911
                     13,                  1.507,                 1.1544,                 1.3038,                0.54587,                0.36478,                0.36001,                0.18861,                 1.8947,                 1.7751,                 1.3273,               0.008812,               0.008812,               0.008812
                     14,                 1.5188,                 1.1601,                 1.3112,                0.54297,                0.35034,                0.36323,                0.19115,                 1.9338,                 1.3812,                 1.3146,               0.008713,               0.008713,               0.008713
                     15,                 1.5102,                 1.1403,                 1.3083,                0.52731,                0.36915,                0.35799,                0.18019,                 1.9445,                 1.4152,                 1.3951,               0.008614,               0.008614,               0.008614
                     16,                 1.5096,                 1.1492,                  1.308,                0.56811,                0.36183,                0.37224,                0.19134,                 1.9423,                 1.3489,                  1.352,               0.008515,               0.008515,               0.008515
                     17,                 1.4987,                 1.1393,                 1.3052,                0.54306,                0.37312,                0.37585,                0.19706,                 1.8887,                 1.3464,                 1.3192,               0.008416,               0.008416,               0.008416
                     18,                   1.49,                 1.1133,                 1.3026,                0.56424,                0.37392,                0.37669,                0.20779,                 1.8073,                  1.294,                 1.3206,               0.008317,               0.008317,               0.008317
                     19,                 1.4604,                 1.0858,                 1.2885,                0.56146,                 0.3664,                 0.3716,                0.19487,                 1.9265,                 1.4668,                 1.3823,               0.008218,               0.008218,               0.008218
                     20,                  1.463,                 1.0867,                 1.2798,                0.55919,                0.37554,                0.37324,                 0.2023,                 1.8165,                 1.3626,                 1.3154,               0.008119,               0.008119,               0.008119
                     21,                 1.4608,                 1.0823,                 1.2834,                0.54729,                0.38683,                 0.3714,                0.19789,                 1.8496,                 1.3678,                 1.3089,                0.00802,                0.00802,                0.00802
