                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0296,                  2.034,                 1.6044,                0.09036,                0.10591,                0.04227,                0.01616,                  3.077,                 6.4564,                 2.4428,               0.070099,              0.0033223,              0.0033223
                      1,                 2.0492,                 1.9261,                 1.6712,                0.25167,                0.15514,                0.09311,                0.03849,                  2.571,                 5.8399,                 1.8429,               0.040066,              0.0066227,              0.0066227
                      2,                 1.9417,                 1.7798,                 1.6012,                0.03262,                0.02984,                0.01115,                0.00558,                 2.8683,                 10.065,                 2.3796,                   0.01,              0.0098901,              0.0098901
                      3,                 1.9115,                 1.7573,                  1.585,                0.32012,                0.25403,                0.18435,                0.08034,                 2.2595,                 2.2338,                  1.566,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.8432,                 1.6172,                  1.539,                0.21519,                 0.2328,                0.13563,                  0.062,                 2.1712,                 4.6952,                 1.5654,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7891,                 1.5469,                 1.5109,                0.38745,                0.26478,                0.22089,                0.09766,                 2.2874,                 2.0554,                 1.5961,               0.009802,               0.009802,               0.009802
                      6,                 1.7734,                 1.5514,                   1.51,                0.45831,                0.28011,                0.27849,                0.12977,                 2.2086,                 1.8998,                 1.5138,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.742,                 1.4944,                 1.4772,                0.49889,                0.23065,                0.22813,                0.11432,                 2.0782,                 2.6501,                 1.5326,               0.009703,               0.009703,               0.009703
                      8,                 1.7222,                 1.4653,                 1.4637,                0.46639,                0.28522,                0.28657,                0.13575,                 2.1539,                 1.7726,                 1.5058,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7133,                 1.4373,                 1.4627,                0.36642,                0.26425,                0.23022,                0.11403,                  2.187,                 2.2073,                 1.5767,               0.009604,               0.009604,               0.009604
                     10,                 1.6955,                 1.4185,                 1.4522,                 0.4365,                0.27742,                 0.2419,                0.11613,                 2.1791,                 2.0655,                 1.5395,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6734,                 1.3813,                 1.4332,                0.54395,                 0.3414,                0.33082,                0.15774,                 2.0792,                 1.6067,                 1.4763,               0.009505,               0.009505,               0.009505
                     12,                 1.6648,                 1.3775,                 1.4532,                0.50982,                0.31909,                0.31327,                0.15173,                  2.072,                 1.7202,                 1.4866,              0.0094555,              0.0094555,              0.0094555
                     13,                   1.64,                  1.341,                 1.4196,                0.50138,                0.28602,                0.28332,                0.14548,                 2.0381,                 1.9055,                 1.4268,               0.009406,               0.009406,               0.009406
                     14,                   1.65,                 1.3432,                 1.4246,                0.40166,                0.30242,                0.27577,                0.14646,                 2.0204,                   1.99,                  1.417,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6361,                 1.3228,                 1.4196,                  0.516,                0.31559,                0.32414,                 0.1599,                 2.1094,                 1.6715,                 1.4697,               0.009307,               0.009307,               0.009307
                     16,                 1.6358,                 1.3202,                 1.4141,                0.50633,                0.29997,                 0.3027,                0.14937,                 2.1315,                 1.6869,                 1.4378,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6458,                 1.3248,                 1.4161,                0.48781,                0.31901,                0.31149,                0.15318,                 2.0703,                 1.9262,                 1.4878,               0.009208,               0.009208,               0.009208
